#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
143,Zamalek SC,Mostafa El Zenary,6.88,0,0,490,97,587,83.48,330,163,33,3,3,33.33,45,56.96,0
144,Modern Future FC,Ahmed Refaat,6.88,0,0,113,37,150,75.33,40,79,40,4,6,27.27,13,72.22,0
145,Ceramica Cleopatra,Marouane Sahraoui,6.88,0,0,157,41,198,79.29,113,44,15,0,0,0.0,28,58.33,0
146,Pharco FC,Mahmoud Hamada,6.88,2,3,1013,290,1303,77.74,462,553,264,30,2,11.76,91,65.0,0
147,Al-Masry,Amr Moussa,6.88,2,0,1029,265,1294,79.52,574,456,126,8,1,20.0,125,44.17,0
148,Modern Future FC,Omar Kamal,6.88,1,1,395,120,515,76.7,198,205,99,13,8,17.78,36,55.38,0
149,Al Ahly FC,Taher Mohamed,6.88,1,0,309,78,387,79.84,80,240,120,11,11,23.91,10,40.0,0
150,ENPPI,Ahmed Sebiha,6.88,1,1,393,228,621,63.29,256,140,48,3,3,21.43,63,34.43,0
151,Al Ahly FC,Mohamed Sherif,6.88,3,0,279,96,375,74.4,70,211,130,18,2,22.22,2,22.22,0
152,Haras El Hedoud,Islam Abdallah,6.88,0,0,231,70,301,76.74,155,76,26,1,0,0.0,19,38.78,0
153,Ismaily,Mohamed Nasr,6.88,0,0,296,79,375,78.93,218,78,20,0,0,0.0,30,43.48,0
154,National Bank of Egypt,Mohamed Fathi,6.87,0,0,919,249,1168,78.68,533,387,139,3,1,14.29,111,53.37,0
155,Modern Future FC,Saad Samir,6.87,0,0,452,77,529,85.44,285,167,52,4,0,0.0,31,48.44,0
156,National Bank of Egypt,Saidou Simpore,6.87,1,1,791,212,1003,78.86,529,263,93,5,1,12.5,92,46.94,0
157,Al-Mokawloon,Luis Hinestroza,6.87,5,2,443,241,684,64.77,150,333,175,49,40,30.08,35,30.97,0
158,Pyramids FC,Fagrie Lakay,6.87,3,4,388,106,494,78.54,91,297,181,29,0,0.0,8,61.54,0
159,El Dakhlya,Funom Alfred,6.87,1,1,85,61,146,58.22,45,49,17,5,9,34.62,5,25.0,0
160,Pharco FC,Mohamed Saeed Shika,6.86,0,0,338,387,725,46.62,207,131,40,0,0,0.0,185,32.98,0
161,Ghazl El Mahalla,Gabriel Orok Ibitham,6.86,4,6,517,165,682,75.81,174,386,197,46,43,31.39,33,60.0,0
162,Al-Ittihad Alexandria,Khaled Sobhi,6.86,0,0,890,182,1072,83.02,640,251,76,5,1,25.0,86,43.65,0
163,Al-Mokawloon,Fady Farid,6.86,2,0,164,69,233,70.39,52,114,75,8,2,33.33,6,42.86,0
164,Aswan SC,Hossam Arafat,6.86,1,0,229,83,312,73.4,80,152,93,17,3,20.0,15,60.0,0
165,Tala'ea El-Gaish,Mohamed Shehata,6.86,0,0,443,162,605,73.22,172,277,145,18,6,19.35,26,38.81,0
166,Aswan SC,Ahmed Dahroug,6.86,1,0,224,118,342,65.5,96,130,61,9,2,12.5,36,38.71,1
167,Tala'ea El-Gaish,Karim Tarek,6.85,4,3,366,136,502,72.91,122,255,132,17,11,18.33,17,62.96,0
168,Modern Future FC,Mohamed Reda,6.85,3,4,718,232,950,75.58,218,504,302,25,4,15.38,69,49.64,0
169,Smouha,Yehia Yasser,6.85,1,0,11,4,15,73.33,3,8,5,3,0,0.0,1,50.0,0
170,Al-Mokawloon,Mohamed Rizk,6.85,1,0,182,68,250,72.8,84,99,50,4,1,50.0,15,40.54,0
171,Ismaily,Yaw Annor,6.85,3,1,268,127,395,67.85,74,197,108,16,3,15.0,9,33.33,0
172,Pharco FC,Shokry Naguib,6.85,2,3,373,140,513,72.71,102,277,147,25,6,24.0,13,43.33,0
173,Pharco FC,Saif Thierry,6.84,0,0,56,21,77,72.73,17,40,23,4,1,33.33,0,0.0,0
174,Smouha,Mostafa Saad,6.84,2,2,313,140,453,69.09,73,253,149,30,13,18.31,11,25.0,1
175,El Dakhlya,Allan Kyambadde,6.84,1,0,640,151,791,80.91,386,257,105,14,3,27.27,59,48.76,0
