#,Team,Name,Average Sofascore rating,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets
297,Al-Ittihad Alexandria,Mohamed Mahmoud,6.73,22,8,0,1,0,0,0,15,1
298,Modern Future FC,Tarek Taha,6.73,4,3,0,4,0,0,0,8,1
299,Al-Masry,Ziad Kamal,6.73,18,11,0,3,0,0,1,10,2
300,Ceramica Cleopatra,John Okoye Ebuka,6.72,3,1,0,0,0,0,0,0,1
301,Tala'ea El-Gaish,Farid Shawky,6.72,38,27,1,22,0,0,0,25,9
302,Zamalek SC,Omar Gaber,6.72,26,13,0,12,0,0,0,6,1
303,National Bank of Egypt,Ahmed Yasser,6.72,36,18,0,11,0,0,0,22,3
304,Pharco FC,Abdel Naser Mohamed Di Maria,6.72,9,4,0,5,0,0,0,0,0
305,ENPPI,Rafik Kabou,6.71,14,4,0,1,0,0,0,18,3
306,El Dakhlya,Walid Mostafa,6.71,13,7,0,5,0,0,0,0,0
307,Al Ahly FC,Mohamed Ashraf,6.71,9,4,1,7,0,0,0,3,2
308,Aswan SC,Islam Salah,6.71,13,25,0,42,0,0,0,3,0
309,Al-Ittihad Alexandria,Naser Naser,6.71,19,11,0,6,0,0,0,16,1
310,Zamalek SC,Mohamed Tarek,6.71,11,1,0,12,0,0,0,6,0
311,Al-Masry,Abderrahim Deghmoum,6.71,36,7,0,5,0,0,0,25,1
312,Aswan SC,Mostafa Abdel Rasoul,6.71,22,10,0,7,0,1,0,5,1
313,Aswan SC,Emad Fathy,6.71,55,26,0,15,0,0,0,19,1
314,Aswan SC,Belal El Sayed,6.71,20,11,1,6,0,1,0,11,0
315,Modern Future FC,Hesham Balaha,6.71,7,8,0,3,0,0,0,5,0
