#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
153,Ismaily,Mohamed Nasr,6.88,0,0,3,100.0,3,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
154,National Bank of Egypt,Mohamed Fathi,6.87,1,0,9,81.82,14,3,6,5,7.14,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
155,Modern Future FC,Saad Samir,6.87,0,0,3,50.0,1,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
156,National Bank of Egypt,Saidou Simpore,6.87,1,0,5,83.33,7,2,2,3,14.29,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
157,Al-Mokawloon,Luis Hinestroza,6.87,0,3,13,35.14,17,6,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
158,Pyramids FC,Fagrie Lakay,6.87,10,8,13,46.43,48,19,18,11,20.83,3,2,0,1,0,9,1,0,0,10,1,13,66.67,0.0
159,El Dakhlya,Funom Alfred,6.87,2,0,3,75.0,3,2,1,0,66.67,0,0,0,0,0,2,0,0,0,2,0,1,0.0,0.0
160,Pharco FC,Mohamed Saeed Shika,6.86,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
161,Ghazl El Mahalla,Gabriel Orok Ibitham,6.86,4,4,40,41.24,53,18,27,8,7.55,0,0,0,5,0,1,3,0,0,4,2,17,0.0,0.0
162,Al-Ittihad Alexandria,Khaled Sobhi,6.86,2,0,4,66.67,10,2,7,1,20.0,0,0,0,0,0,2,0,0,1,1,2,0,0.0,0.0
163,Al-Mokawloon,Fady Farid,6.86,2,3,16,76.19,35,12,16,7,5.71,0,0,3,0,0,2,0,1,0,1,0,9,0.0,0.0
164,Aswan SC,Hossam Arafat,6.86,2,1,4,36.36,13,5,5,3,15.38,0,0,0,0,0,1,1,1,0,1,1,4,0.0,0.0
165,Tala'ea El-Gaish,Mohamed Shehata,6.86,1,0,11,61.11,24,8,12,4,4.17,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0
